id,trn_all,in_ictrp,trn_ictrp,n_ictrp,is_intervention,is_reg_2020,is_not_withdrawn_ictrp,in_registries,trn_registries,n_registries,is_not_withdrawn_registry,is_any_rcd_cutoff_3,is_not_withdrawn_auto,is_not_phase_1_manually_excluded,is_clinical_trial_manual,is_covid_manual,is_not_withdrawn_manual,is_extracted,is_pass_screening_auto,is_pass_screening_manual_ignore_cd,is_pass_screening_manual
tri00097,ChiCTR2000029439,TRUE,ChiCTR2000029439,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029439,1,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
tri00098,ChiCTR2000029438,TRUE,ChiCTR2000029438,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029438,1,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
tri00099,ChiCTR2000029437,TRUE,ChiCTR2000029437,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029437,1,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00100,ChiCTR2000029436,TRUE,ChiCTR2000029436,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029436,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00101,ChiCTR2000029435,TRUE,ChiCTR2000029435,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029435,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00102,ChiCTR2000029432,TRUE,ChiCTR2000029432,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029432,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00103,ChiCTR2000029431,TRUE,ChiCTR2000029431,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029431,1,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,TRUE,FALSE,FALSE
tri00104,ChiCTR2000029430,TRUE,ChiCTR2000029430,1,FALSE,TRUE,TRUE,TRUE,ChiCTR2000029430,1,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
tri00105,ChiCTR2000029418,TRUE,ChiCTR2000029418,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029418,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00106,ChiCTR2000029400,TRUE,ChiCTR2000029400,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029400,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
tri00107,ChiCTR2000029381,TRUE,ChiCTR2000029381,1,TRUE,TRUE,TRUE,TRUE,ChiCTR2000029381,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
